,ticket_id,user_name,refund_reject_reason
0,TICKET-6cb75ce1-5392-4d54-86c1-c6bb720fec79,Burri,transaction_id_not_matched
1,TICKET-1ff70988-b25b-45b3-b045-cefab2c4b73c,Brggr,already_processed
2,TICKET-62ef4539-3b83-4245-964b-5c3218a8637c,Areie,already_processed
3,TICKET-eccc24ed-6a0b-42d4-86c1-e5af2b95f86b,Aeibb,already_processed
4,TICKET-a31bd6fb-4578-4cd1-9adb-68d04db6a362,Currr,already_processed
5,TICKET-c7f469ed-fb61-45bd-8397-33460657385a,Cggge,already_processed
6,TICKET-0f436dca-a326-4e1e-979c-8b08a57bcfa3,Bgirr,already_processed
7,TICKET-cd5f433a-8b38-40b2-8fcf-a1f16faccc60,Bgbeu,already_processed
8,TICKET-b170126e-cb39-430f-9cf4-6a30ec00b044,Aeiie,already_processed
9,TICKET-2ae8acd2-a9ff-49ca-9d86-06fd7d774484,Currg,already_processed
10,TICKET-259bcad0-3978-4f70-838d-0b80a738aba6,Brrre,transaction_id_not_matched
11,TICKET-0d0a2967-4f5d-4f94-9ad5-3614128056b6,Arier,already_processed
12,TICKET-1ce64928-8b69-4c03-b140-4426081d2788,Cgirr,transaction_id_not_matched
13,TICKET-ca230089-7551-4c9c-aaa9-fce8d21bd991,Cbrgi,already_processed
14,TICKET-23332058-026f-4833-bebd-45cef6ab376c,Beeeu,already_processed
15,TICKET-7e249221-068e-4139-9662-dc3c182c5452,Cebru,already_processed
16,TICKET-04e43eca-94cf-49e1-b381-ef1e1f481df9,Bebre,already_processed
17,TICKET-1ebe9afa-c898-49f3-9777-03608e2cc9ed,Brurr,already_processed
18,TICKET-e80272dc-a811-49c4-b04d-4871f255164e,Bgueg,already_processed
19,TICKET-2b9b68ff-a3ad-4787-8222-1d872cdfb4b5,Airrg,already_processed
20,TICKET-11e8bc06-7eff-4cfe-8af8-5edd039af39a,Abeeb,already_processed
21,TICKET-7e98025d-a850-43b7-9ea3-bc9a4950c859,Bregg,already_processed
22,TICKET-362bf281-77d6-46a4-85da-ee86f3400898,Begur,already_processed
23,TICKET-33076d0b-32ea-4741-9c3d-b487ced39d6d,Cibue,transaction_id_not_matched
24,TICKET-47ae3522-9134-4695-832e-9c91e770cf14,Cueui,already_processed
25,TICKET-3c96bff8-0cf7-4bf2-9764-2499c382b5bd,Aurbu,transaction_id_not_matched
26,TICKET-badf6ee1-1532-4cea-9f9b-992b279c0ea2,Areer,already_processed
27,TICKET-9e8231b8-120c-469a-8301-48566959e9d9,Aigui,already_processed
28,TICKET-96ea392a-ec85-4863-abb7-7bc7b531839f,Airir,transaction_id_not_matched
29,TICKET-36b540db-04a8-4834-b5af-85555a6cd9ef,Aeuur,already_processed
30,TICKET-02f726fb-7525-498e-a23c-7b633e408e76,Bruig,already_processed
31,TICKET-0ec94163-97ab-4dbb-9ced-9621ed4a7934,Cirgu,already_processed
32,TICKET-790e2754-5899-4060-a14a-5a6d3310659e,Argur,already_processed
33,TICKET-9ac4cd22-d205-4a19-a869-8807219ba3ff,Cuiir,already_processed
34,TICKET-9410b034-b101-4584-a4b2-fda22a71eee4,Cieub,transaction_id_not_matched
35,TICKET-4f144239-d2b1-4640-af92-ddc524d11934,Agiug,already_processed
36,TICKET-4eab9220-71dd-4c8f-ade7-03fc7486151b,Abeeb,already_processed
37,TICKET-81f14f7a-3e6c-42ec-83e8-a3dc062dbaab,Ceueg,transaction_id_not_matched
38,TICKET-fa746422-4d9c-4833-a9d0-d45ea0c2fff7,Aueee,already_processed
39,TICKET-b90f4b08-2334-4213-9e9a-7b3141270f3f,Argiu,already_processed
40,TICKET-bbbd727c-4697-415d-b6ab-3c08aa1f12e2,Brrui,already_processed
41,TICKET-c3c379d4-0688-4436-96d6-acf80354d8f3,Beiig,already_processed
42,TICKET-60797fe0-72af-4c30-a2f7-d9b48a7ab36c,Bbugi,already_processed
43,TICKET-041d0b51-6684-43d4-bd5b-3333430e526b,Ciieu,already_processed
44,TICKET-63ab1330-e562-482b-a2aa-62bc420512d3,Biegg,already_processed
45,TICKET-d6f25df8-e9c5-4d84-92fc-682995157948,Cirrr,already_processed
46,TICKET-1cecf71c-ac90-4839-a3f4-0aeb8a813866,Birgg,already_processed
47,TICKET-89ed31c7-b3ed-407e-8881-29fb9b6478a9,Ciiee,already_processed
48,TICKET-df874237-37cc-40cc-93f4-d3867bc70779,Ceugi,already_processed
49,TICKET-716fefbc-e367-4f8a-92d4-c1919896e184,Beiue,already_processed
50,TICKET-44831237-08b9-47b6-859d-b659809225d3,Cgibg,already_processed
51,TICKET-a20cd330-20c8-45c7-8cb8-5060e13afca3,Beeig,already_processed
52,TICKET-ad55a0c3-1e89-4785-9a8c-3d7d6449a599,Cieub,already_processed
53,TICKET-b2a5f4a2-fd2e-4f03-9210-897078d09a9b,Bgerg,already_processed
54,TICKET-db6c0267-17d1-4832-96c3-95b120e136bc,Beruu,already_processed
55,TICKET-b4d151cd-9dcd-41db-ab35-7ea450a682b4,Cbeiu,transaction_id_not_matched
56,TICKET-f07ae4da-9982-4edc-8d9d-0b9104fc8d76,Crrii,already_processed
57,TICKET-92c5cccc-3c54-43e0-a596-26ee27f8f0b4,Crrri,already_processed
58,TICKET-a8d2c884-4bc7-4229-9d16-1b8930026c83,Berue,already_processed
59,TICKET-a6ff0bdd-1c99-4f04-abe0-3ce0576017fe,Brubb,transaction_id_not_matched
60,TICKET-b11362c4-95ca-45e5-b455-bc8d8e86ea68,Crguu,already_processed
61,TICKET-740ed868-f847-46e4-aba9-355277ca07e4,Biggg,already_processed
62,TICKET-af72cf06-8533-4013-b302-93640431648c,Aeuri,already_processed
63,TICKET-7107b64b-d6d6-49d7-8755-4d1c26c1907f,Birrb,already_processed
64,TICKET-16bc6da0-808e-4324-863b-0c457601c7b0,Augur,already_processed
65,TICKET-e831cd45-d8c5-486d-808e-c84a7d8084c3,Bgiie,already_processed
66,TICKET-c61d1464-dcc6-4b89-aadd-dc2528aa0a82,Breur,already_processed
67,TICKET-743811bb-7b3d-45d3-a0f8-1d6f4d98808e,Aueri,transaction_id_not_matched
68,TICKET-057e33f5-626d-4dd9-ad1b-5e322312acd9,Airri,already_processed
69,TICKET-33da7dbe-ff5d-4e9c-ac96-55032cc5e95e,Aiige,already_processed
70,TICKET-73e384ea-79cd-4cae-bcad-1aebc2deef87,Aibir,already_processed
71,TICKET-8cf5c78b-d72f-4856-aa07-3e388ea8dacb,Aigee,transaction_id_not_matched
72,TICKET-185a4e80-23e1-4422-91c3-9bd408dd9ec9,Ciuui,already_processed
73,TICKET-a94ad9af-7102-4708-a7ce-91ac7ca3841f,Creer,already_processed
74,TICKET-576d5066-7852-4c71-8229-dfc352f0dcf7,Ciuiu,already_processed
75,TICKET-e7e553a4-49c4-4e42-9571-36b09f628b0a,Aeubr,already_processed
76,TICKET-95e483d2-3119-4ce1-a5b3-3a5c13e787f4,Birgb,already_processed
77,TICKET-9cd79b5a-163a-4bb9-8a9c-a059e670aa20,Beriu,already_processed
78,TICKET-76794664-adc8-498d-b95e-dbeb2b3e0346,Criru,already_processed
79,TICKET-b15bd0a1-6e88-44ec-b1b5-54d927f4395f,Brbur,already_processed
80,TICKET-48060a1e-7f34-40b6-b061-7e48c87c7bd0,Cieui,already_processed
81,TICKET-60dd8db2-9989-434d-a58b-bbb02ad7280f,Crebu,already_processed
82,TICKET-721f7920-b349-48bb-bf0e-2c1622f61b3f,Bbgei,already_processed
83,TICKET-e0ee37d8-98ed-453f-a351-39e0f25ab32e,Cbiee,already_processed
84,TICKET-3d234372-5cdc-4f04-a8fb-172917ff7129,Aerbe,already_processed
85,TICKET-bc35f5cc-3f1e-4d9a-bb90-2a2f43eeb286,Aruri,already_processed
86,TICKET-e991a60b-818f-4cd1-849a-95734dacc104,Creub,already_processed
87,TICKET-83f08d01-9388-4d00-820d-a993bf387f43,Crbrb,already_processed
88,TICKET-f0839f16-9062-4810-bf02-0830511d2fc5,Ciebb,already_processed
